2020-01-01	,2020-01-01,352498
2020-01-02	,2020-01-02,395283
2020-01-03	,2020-01-03,390695
2020-01-04	,2020-01-04,385235
2020-01-05	,2020-01-05,408573
2020-01-06	,2020-01-06,392073
2020-01-07	,2020-01-07,376003
2020-01-08	,2020-01-08,365896
2020-01-09	,2020-01-09,357418
2020-01-10	,2020-01-10,355199
2020-01-11	,2020-01-11,368732
2020-01-12	,2020-01-12,369625
2020-01-13	,2020-01-13,369009
2020-01-14	,2020-01-14,363182
2020-01-15	,2020-01-15,363958
2020-01-16	,2020-01-16,397417
2020-01-17	,2020-01-17,401519
2020-01-18	,2020-01-18,452401
2020-01-19	,2020-01-19,465236
2020-01-20	,2020-01-20,445911
2020-01-21	,2020-01-21,419379
2020-01-22	,2020-01-22,388393
2020-01-23	,2020-01-23,383495
2020-01-24	,2020-01-24,337810
2020-01-25	,2020-01-25,344739
2020-01-26	,2020-01-26,350910
2020-01-27	,2020-01-27,339451
2020-01-28	,2020-01-28,366750
2020-01-29	,2020-01-29,365294
2020-01-30	,2020-01-30,422036
2020-01-31	,2020-01-31,525792
